Raw,StoreCode,StoreName
"0382 PEP KRAAIFONTEIN BLOCH CENTRE SHOP 10 BLOCH CENTRE, 18 VAN RIEBEECK ROAD KRAAIFONTEIN KRAAIFONTEIN WESTERN CAPE",0382,PEP KRAAIFONTEIN
"0387 PEP MARQUARD SHOP, MAIN STREET MARQUARD MARQUARD FREE STATE",0387,PEP MARQUARD
"0389 PEP PONGOLA NEW REPUBLIC WAY SHOP ERLANK BUILDING , NEW REPUBLIC WAY PONGOLA PONGOLA KWAZULU-NATAL",0389,PEP PONGOLA
"0398 PEP BERGVILLE SHOP, TATHAMWEG ROAD BERGVILLE BERGVILLE KWAZULU-NATAL",0398,PEP BERGVILLE
"0408 PEP PINETOWN SHOP 4 PINE CITY CENTRE, 24HILL STREET PINETOWN PINETOWN KWAZULU-NATAL",0408,PEP PINETOWN
"0415 PEP BELLVILLE VOORTREKKER ROAD HARMOUR HOUSE (EX LEGIT), 145 VOORTREKKER ROAD BELLVILLE CAPE TOWN WESTERN CAPE",0415,PEP BELLVILLE
"0416 PEP WELKOM POWER ROAD SHOP 6 MANNY'S BUILDING , 179 POWER ROAD WELKOM WELKOM FREE STATE",0416,PEP WELKOM
"0434 PEP LICHTENBURG PARKVIEW SC SHOP A8, PARKVIEW SHOPPING CENTRE, 63 SCHOLTZ STREET LICHTENBURG LICHTENBURG NORTH WEST",0434,PEP LICHTENBURG
"0436 PEP RICHARDS BAY CHECKERS CTR SHOP 18 CHECKERS CENTRE, SHILLING SWING STREET RICHARDS BAY RICHARDS BAY KWAZULU-NATAL",0436,PEP RICHARDS
"0442 PEP HARDING ITHALA CENTRE SHOP 5 - 7 ITHALA CENTRE, MUSGRAVE STREET HARDING HARDING KWAZULU-NATAL",0442,PEP HARDING
"0444 PEP HERTZOGVILLE SHOP, 7 MAIN STREET HERTZOGVILLE HERTZOGVILLE FREE STATE",0444,PEP HERTZOGVILLE
"0456 PEP SWARTRUGGENS SHOP 1, 13 SAREL CILLIERS STREET SWARTRUGGENS SWARTRUGGENS NORTH WEST",0456,PEP SWARTRUGGENS
"0457 PEP PAARL OLD REMBRANDT SHOP 11, OLD REMBRANDT SHOPPING CENTRE, CNR LADY GREY & BERG RIVER PAARL PAARL WESTERN CAPE",0457,PEP PAARL
"0458 PEP IXOPO MARGARET STREET SHOP, 18 MARGARET STREET IXOPO IXOPO KWAZULU-NATAL",0458,PEP IXOPO
"0462 PEP PORT ALFRED SHOP 1 ELUKWATINI CENTRE, CAMPBELL STREET PORT ALFRED PORT ALFRED EASTERN CAPE",0462,PEP PORT
"0479 PEP RUSTENBURG MAROELA CENTRE SHOP 6 MAROELA CENTRE, 30 FATIMA BHAYAT STREET LEYDS STREET RUSTENBURG RUSTENBURG NORTH WEST",0479,PEP RUSTENBURG
"0483 PEP HOWICK UMNGENI CENTRE SHOP 1 UMNGENI CENTRE, 12 HARVARD STREET HOWICK HOWICK KWAZULU-NATAL",0483,PEP HOWICK
"0485 PEP VIRGINIA GOVERNMENT STREET SHOP _ BUILDING _, 917 GOVERNMENT STREET VIRGINIA VIRGINIA FREE STATE",0485,PEP VIRGINIA
"0489 PEP BARKLY WEST SHOP, 7 CAMPBELL STREET BARKLY WEST BARKLY WEST NORTHERN CAPE",0489,PEP BARKLY
"0498 PEP MTUBATUBA NKOSI MTUBA ROAD SHOP 1 MTUBATABA, NKOSI MTUBA ROAD MTUBATUBA MTUBATUBA KWAZULU-NATAL",0498,PEP MTUBATUBA
"0503 PEP THY SIBASA SHOPRITE SHOP C3-4 SIBASA SHOPRITE CENTRE, R532 SIBASA THOHOYANDOU LIMPOPO",0503,PEP THY
"0505 PEP CAPE TOWN GRAND CENTRAL SHOP 3001 GRAND CENTRAL, C/O PLEIN STREET DARLING STREET CAPE TOWN CAPE TOWN WESTERN CAPE",0505,PEP CAPE
"0531 PEP KW TOWN MARKET SQUARE SHOP 17 MARKET SQUARE, WALKER STREET KING WILLIAMS TOWN KING WILLIAMS TOWN EASTERN CAPE",0531,PEP KW
"0535 PEP MAFIKENG MMABATHO MEGACITY SHOP 67 MEGACITY, SEKAME STREET MMABATHO MMABATHO NORTH WEST",0535,PEP MAFIKENG
"0537 PEP ORKNEY KINGSLEY SHOP 4 SANLAM BUILDING, KINGSLEY ROAD ORKNEY ORKNEY NORTH WEST",0537,PEP ORKNEY
